,Review
0,"The chilaquiles were so good.
The tacos were convincing and taste verh similar to the real thing.

The arroz con Leche was taste and coconutty

The red velvet tasted awful like fridge or something. It wasn't good at all. Dry too.

I'd come back to again."
1,"As I embark in a new chapter of my life in which I am drastically forced to change my eating habits, I stumble upon this gem! Vegetarian, Vegan Authentic Mexican food! Wow! I'm beyond thrilled!  Did I say WOW?!
The masa for the tamales is so delicious who needs other ingredients!!  I gave up pork over 15 years ago & have missed eating tacos Al pastor, WOW! Never again! The seasoning was perfect!
I'm so looking forward to trying everything on their menu!  Can't wait to go back!"
2,"Absolutely delicious. I’m a flight attendant and eat vegan food all over the country. This spot is TOP notch. So yummy, big portions, amazing service, fair prices. I’m gonna be back here so often. Wow"
3,"A great variety of mex favorites with healthier substitutions. The staff was friendly and had answers to all my questions. Very well air conditioned, clean and tidy. I’m excited to return, the aguas frescas are divine! Thanks for a great first time."
4,"Absolutely delicious! I don't always enjoy eating vegan, but this place was great. I had two steak tacos that the girl at the register recommended, and a digestive smoothie. I was worried about the smoothie just because I wasn't sure how it would taste, but I got it with orange juice and I loved it! The two tacos were amazing and hit the spot. Thank you ladies!"
5,"Great place not only to come and workout but also to relax and unwind. This is my second year with them and I have nothing but nice things to say about it. Its never packed, super clean, latest equipment, very helpful staff. Many daily activities. Safe and friendly atmosphere. Lots of families come in. The list goes on and on. The cost of a yearly membership is above average, but when you see all you get and how you feel afterwards, you forget about everything. Highly recommend."
6,"Been coming here for 3 weeks now, great gym.
Nice and clean. I like the people who come here, everyone has been very friendly. A lot of equipment to use, areas to workout, and the classes are awesome. Tabatha is great and the hot yoga is killer."
7,This gym has everything you need and more to try out. The staff have been nothing but kind and respectful. The price seems cheap compared to how many amenities you get!
8,"Place is great! Lots of included free work out classes, 7 pickle ball courts, full bball court, tons of spacing and every piece of work out equipment you need. Filtered water, yoga classes as well, jacuzzi, pool. This place is Lifetime fitness for half the price. Always clean and everyone is very nice and respectful."
9,"New found love for swimming because of their new warm water outdoor pool with fun meal menu ( fish tacos, pizza, avocado toast, beer, wine, smoothies, etc. ) and indoor hot water therapy pool! Nice gym also."
10,The Field Museum is a must-see attraction. We spent about five hours here and we sped through a decent amount of the exhibits. There’s nothing that I can say here that will prepare you for the pure size of this place. So many exhibits just keep going and going. We had the City Pass which got us into all of the exhibits. We had a quick bite to eat at the cafe. There are a lot of vending machines and drinks available throughout. Wear comfy shoes because you will walk a lot!
11,It was an amazing trip! We paid out of state fees and we paid for all the special exhibitions. It was worth it. It took us all day to be able to get through the whole place and all the exhibitions. Chairs or benches available in every room. Stairs and elevators are available as well. Restrooms are super clean and you can find them near every area or exhibition. You can bring your own food and they have a few big cafeteria areas inside and outside to enjoy your break. Parking is not very close; we walked a few blocks to be able to get to the first available parking lot and paid $25 all day (not so bad for a Chicago parking space!). It is a great place to visit with kids or without kids.
12,"I hadn't been since I was a child, but we decided to take the kids. It was wonderful. Great exhibits. We actually didn't finish it before the kids got tired and restless. We definitely plan to go back and look again! Literally amazing for adults too!!!! Not just children. The dinosaurs were our personal favorites."
13,"Visited with the city pass/go city and my group of 16 Girl Scouts. Definitely go when the doors open at 9:00 to visit exhibits and beat the crowds. You can easily spend 2 days here soaking up all the information and displays... we spent 4 hours and saw the top must sees per our girls.

Wild Color exhibit was a hit and I highly recommend adding it to your visit when you get your tickets.

There were teen volunteers who did a great job with stations around the museum quizzing people and giving information/activities a bit more in depth.

Bathrooms were all very clean and the museum was spotless in regards to cleanliness.

They do have 2 nursing/pumping rooms for Moms that had a sink, outlet, and comfy chair."
14,"What a treasure!!! Second time for me to visit as an adult, first time for my 8.5 yo. We spent ~ 2 hrs. Paid extra for ocean jurassic but an Illinois resident basic at $25 would be as good. Don't go on weekends or later in the day, it was a bit chaotic because they were setting up tables for an apparently huge event. All in all an amazing place to visit w kids! We will come back for sure. If you are visiting from outside state consider getting the city pass. Again the basic ticket is already getting you to a lot of exhibits. No need to purchase extras."
