,Review
0,Absolutely recommend this restaurant. Food is top notch. Everything on the menus is so delicious it was hard to choose.
1,"Worth it! I came here at opening time with my family for dinner and was lucky to get a table. 

All the food here was excellent. It was interesting that so..."
2,"The food was out of this world tasty. The green beans were balanced and y u m m m m m m y I'm a kid at heart, hate vegies but this was fantastic I think i..."
3,"Great portion sizes but expect to wait a while as it's right beside the cloud gate ""bean"" attraction. Staff were very friendly and professional."
4,The food is amazing! I always go on Sundays. The line does seem long but they are very fast. The food portions are very big so plan on splitting. The...
5,Good food! Service was really great too - it was full of tourist and very surprised to have a good meal and service. The ambiance was upbeat and fun - we...
6,"Vibe, friendly, and food was amazing. Fun sitting at the counter watching the kitchen - well oiled machine!"
7,"I am very excited when I visit this place. I am very hungry too that time. So, I like to try their Egg and Bacon, which is having very soft egg and crunchy..."
8,"For 2 years we've been trying our luck randomly to get an indoor table here and it's always been a super long wait; but today we were able to get in! 

The..."
9,"Dishes are all too salty, especially the half duck. Beef short rib is the best among all. 
Restaurant environment: crowded and noisy."
10,"Last time I was in Chicago on a weekend, I tried to go here and couldn't get in. On my latest attempt, we came were seated on a Wednesday night without a..."
11,"Loved the food we got here! A friend recommended this place to our group while we were in town, and I think it was worth having one of our meals here. We..."
12,The pizza was very delicious. The suave was the right consistency and flavor. The cheese was stringy and thick. Make sure to get the butter crust and...
13,"The pizza was amazing!!!! The 'thin' crust wasn't what I thought of as thin, but it was incredible! It had a perfect crunchiness & the dough in the crust..."
14,I dined at Lou Malnati's for my last dinner in Chicago.  This was a great way to end my trip to Chicago!  I sat near the front window area of the dining...
15,"This is by far my favorite steakhouse in the US. Even though I dont live in Chi anymore, but everytime I visit, I make sure to make a stop there. Great..."
16,"We went to Bavette's 10/29/2022.  Whenever I look for Bavette's on the web, the reviews show 5 stars.  I found out for myself that they deserve every single..."
17,"I was so excited to try Bavette's for my first time on my birthday, and I was really hoping to give them a 5 star review, but sadly the service was not up..."
18,"The exhibits were fantastic, the museum is very military friendly, me and my families favorite exhibit was the hall of miniature rooms which were stunning,..."
19,"The Art Institute of Chicago is a must visit! It's located right next to the Bean, which is probably also on your itinerary, so why not include the museum..."
20,"Whenever friends visit me in Chicago, I will always take them to the Art Institute of Chicago.

 It can be a bit overwhelming in your first visit, but each..."
21,Cafe Ba-Ba-Reeba is the real deal!  You can't get any closer to real Spanish food than here.  Best Spanish and Tapas restaurant in Chicago for sure.   Off...
22,"I've been meaning to try this place for ages, and it didn't disappoint! I was a bit confused on how many items to order, but the waiter explained that most..."
23,"I went to this location just to try the Sangria! I heard it was really incredible and that was quite the understatement! 

I thoroughly enjoyed the Sangria...."
24,"honestly for the price it's great bbq, great flavors all around never cold when ordered."
25,"Smoque BBQ
3800 N Pulaski Rd, Chicago IL 60641
October 29, 2022 Saturday - 11:00 AM for lunch
1 Adult

Atmosphere - 4 stars
Food - 5 stars
Service - 5..."
26,"Pretty tasty stuff they got going on at smoque. How it works is you place an order at the register, sit down, and once your order is ready they will call..."
27,"Such good food, love the vibe and we had excellent service.There are a lot of competitive locations in the area, but the Little Goat Diner is a must. The..."
28,"Paratha burrito- 5/5 ; this is absolutely delicious!!
Spiced apple pancakes- 4/5 ; these were chai spiced & had pieces of apples stuffed. Pretty..."
29,"The key here is to definitely plan to share your dishes! If you go with a friend, get two meals and share. The food is really good but SUPER rich. While..."
30,Absolutely the best Chicago pizza you will find!  I love their lunch special!  It will not disappoint!
31,"A solid spot to bring all your friends and family to try the famous Chicago Deep Dish pizza. Regardless of the day, this place always promises good food,..."
32,"Pequod's was my first deep dish experience and I was completely blown away! We stopped by on a Sunday evening and they were packed, so we opted to bring the..."
33,Delicious food and the prices are awesome for downtown Chicago. House made pasta was delicious and the portions are manageable.
34,"Amazing service, so much food, great area.  Excellent wine suggestions.  Will definitely return!"
35,"Walked in without reservation and was seated right away.
Tortellini: rich flavor, really loved this.
Negroni blanc: well balanced cocktail.
Raspberry..."
36,WOW. What an incredible experience. I knew I wanted to try a Michelin rated restaurant while in a Chicago since Denver doesn't have any and I'm so glad to...
37,My first time. Was super hyped and it was the highlight of my trip to chicago. I did the reserve wine pairing and it was probably too much wine for me. I...
38,"I'll preface, I've been a hostess and server when I was young, so I am appreciative when service is consistent and solid.

We went to the Gallery - $550 per..."
39,"Everything was phenomenal! Our server took the time to walk us through the menu and explain the history of the restaurant and its locations.

We ordered a..."
40,"FOOD: 4
SERVICE: 5
AMBIANCE: 5
VALUE: 4

Step back into an old world steakhouse. Old world attentive service and welcoming atmosphere. Something that we..."
41,This is my favorite.  They have the most tasty snow crabs ever!!! It's worth the wait and the price.  Get the larger claws not the smaller. There's more...
42,Kuma's offers a variety of burgers (both meat and meat-free) in addition to some tasty sides. Parking is best off of Belmont or directly in front of the...
43,"Decided to go back and give it another chance after seeing the buffalo chicken mac & cheese. What a mistake. I knew it was going to be bad when
1: there was..."
